idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,url_avis
26-32898,2026-04-01,73,['73'],GRAND CHAMBERY,"Travaux pour réparation, entretien et renouvellement des réseaux d'eau potable et d'assainissement de l'agglomération","Alimentation en eau potable, Assainissement",Marchés européens,Procédure Négociée,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32898
26-32734,2026-04-01,42,['42'],SIEL Territoire d'énergie Loire,Exploitation de l'éclairage public 2026-2031,Eclairage public,Marchés européens,Procédure Négociée,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32734
26-32771,2026-04-01,976,['976'],Département-Région de Mayotte,CONSTRUCTION D'UN GYMNASE A M'TSANGAMOUJI – RELANCE LOT 8 : AMENAGEMENTS PAYSAGERS,Espaces verts,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32771
26-32888,2026-04-01,93,['93'],Département de la Seine-Saint-Denis,Marché des travaux pour le réaménagement de l'Aire des Vents (Dugny),"Voirie et réseaux divers, Espaces verts, Aire de jeux",Marchés européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32888
26-32649,2026-04-01,38,['38'],GRENOBLE ALPES METROPOLE,Travaux de réparation du pont Victor Hugo - ECHPON0310,Ouvrage d'art,Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32649
26-33301,2026-04-01,17,['17'],Eau17 (17),"Commune de ST SATURNIN DU BOIS-Renouvellement de canalisations d'eau potable aux lieux dits Les Bougraines, La Motte Aubert, Chez Bernusson, la Grande Gorre et La Petite Gorre","Canalisations, Alimentation en eau potable",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33301
26-33326,2026-04-01,77,"['77', '93', '94', '92']",EPAFRANCE,Création d'un poste d'éclairage public nord sur le territoire de Val d'Europe Agglomération.,"Electricité (travaux), Terrassement, Gros oeuvre",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33326
26-33600,2026-04-01,67,['67'],Ville de Schiltigheim,Travaux d’amélioration de la ventilation à la crèche des Moussaillons,Ventilation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33600
26-33606,2026-04-01,33,['33'],COMMUNE DE CABANAC ET VILLAGRAINS,Travaux d'aménagement de la route de la Gare,Voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-33606
26-33609,2026-04-01,75,"['75', '77', '78', '91', '92', '93', '94', '95']",Ministère de la Justice - BIJPAC,Travaux d'installation de bornes électriques pour véhicules de services au Palais de Justice de Paris.,Véhicules,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33609
26-33399,2026-04-01,75,"['75', '77', '78', '91', '93', '94', '95']",Préfecture de Police de Paris,Le contrat porte sur le remplacement du réseau secondaire de distribution de chauffage existant par un nouveau système performant.,Chauffage (travaux),Marchés entre 90 k€ et seuils européens,Procédure Restreinte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33399
26-33670,2026-04-01,08,['8'],Commune de Rethel,Travaux de création d'un centre social-.,Ouvrage d'infrastructure,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33670
26-33673,2026-04-01,42,['42'],CHU SAINT ETIENNE,Ght_TRV_2026-073_MAPA_Restructuration Partielle Du Service D'Imagerie_Gier,"Chauffage (travaux), Electricité (travaux), Plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33673
26-33774,2026-04-01,17,['17'],Communauté d'agglomération Rochefort Océan,"Aménagement d'un espace de coworking : Bureaux partagés, hall et open space au village multimédia Zola à Rochefort","Cloison, faux plafond, Electricité (travaux), Menuiserie, Peinture (travaux), Plomberie (travaux)",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33774
26-33495,2026-04-01,13,['13'],Ville d'Arles,Travaux de création d'un poste de refoulement hydraulique sur le canal du Vigueirat,Ouvrage hydraulique,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33495
26-33735,2026-04-01,81,"['81', '31', '34']",TRIFYL,Travaux d'installation de protections contre les chutes de travail en hauteur sur les centres de tri de Blaye Les Mines et Labruguière,"Passerelle, Equipement industriel",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33735
26-32652,2026-04-01,73,['73'],SACOVAL,Travaux Les Cirses - 59 Logements Collectifs,"Charpente, Chauffage (travaux), Peinture (travaux), Plomberie (travaux), Tous corps d'état",Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32652
26-32712,2026-04-01,94,['94'],Mairie de Champigny-sur-Marne,Accord-cadre travaux neufs de voirie et d'espaces publics,Voirie,Marchés européens,Procédure Ouverte,Avis de marché,3,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-32712
26-33092,2026-04-01,59,['59'],NOREADE SIDEN-SIAN,"Communes d'AIX-EN-PEVELE et MOUCHIN
(Département du Nord)
Extension du réseau d'assainissement de collecte des Eaux Usées des Rues du Général de Gaulle, Nationale, de l'Enfer et route de Saint Aman...","Alimentation en eau potable, Assainissement",Marchés européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33092
26-33527,2026-04-01,27,['27'],Mairie d'Evreux,Travaux pour la démolition et désamiantage du site du Bois Bohy et du bâtiment modulaire Paul Eluard (Evreux),"Amiante (désamiantage), Démolition",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33527
